tfm_id,tfm_desc,site_desc,longitude,latitude,tfm_typ_de,movement_t,declared_r,local_road,aadt_all_vehicles,aadt_truck,percent_trucks,last_year
7656,CALDER HWY NE OF OAK ST,CALDER HWY & OAK ST,144.25061355720683,-36.77931336633828,INTERSECTION,All Moves,CALDER HIGHWAY,HIGH STREET,7700,330,0.04,1997
29406,MT DANDENONG RD S BD SE OF UPALONG RD,MT DANDENONG RD SE OF UPALONG RD,145.3567793910563,-37.83530880316434,INTERSECTION,All Moves,MOUNT DANDENONG ROAD,MOUNT DANDENONG TOURIST ROAD,1900,0,0.0,2000
22676,SWAN ST W BD E OF PUNT RD,PUNT RD LEFT TURN TO SWAN ST OD:12,144.98884353329427,-37.82462879249984,INTERSECTION,All Moves,HODDLE HIGHWAY,PUNT ROAD,15000,630,0.04,1993
27902,DYNON RD W BD E OF RADCLIFFE ST,DYNON RD & RADCLIFFE ST,144.93244238351363,-37.803783317565575,INTERSECTION,All Moves,DYNON ROAD,DYNON ROAD,12000,1300,0.1,1997
10935,DALTON RD N of CHILDS RD,CHILDS RD & DALTON RD,145.03060050148983,-37.660502400829095,INTERSECTION,All Moves,DALTON ROAD,DALTON ROAD,12000,600,0.05,1997
27853,GRIMSHAW ST E of GREENSBOROUGH HWY,GREENSBOROUGH HWY & GRIMSHAW ST,145.09047160989743,-37.70324146127535,INTERSECTION,All Moves,HEIDELBERG-KINGLAKE ROAD,GRIMSHAW STREET,21000,840,0.04,1993
10936,BULLEEN RD N BD N of MANNINGHAM RD,BULLEEN RD N OF MANNINGHAM RD,145.0834341222611,-37.76190059824638,INTERSECTION,All Moves,BULLEEN ROAD,BULLEEN ROAD,5000,130,0.03,1998
26639,FRANKSTON DANDENON NE of SKYE RD,FRANKSTON DANDENON & SKYE RD,145.13363510253103,-38.129982500705566,INTERSECTION,All Moves,2840R 2090B,FRANKSTON IN-FRANKSTON-DANDENONG RAMP OF,8400,0,0.0,1994
11632,PRINCESS ST N OF HUTCHINSON DR,PRINCESS ST/DUKE ST/HUTCHINSON DR,145.03128102137524,-37.794104400772035,INTERSECTION,All Moves,BURNLEY-KEW ROAD,PRINCESS STREET,17000,0,0.0,2011
22114,PASCOE VALE RD N BD NE OF DIMBOOLA RD,PASCOE VALE RD NE OF DIMBOOLA RD,144.91848115187295,-37.683466980857325,INTERSECTION,All Moves,PASCOE VALE ROAD,PASCOE VALE ROAD,15000,0,0.0,1994
13918,MOOROODUC HWY N OF HASTINGS RD,MOOROODUC HWY/HASTINGS RD/MONASH UNI ENT,145.13364213685088,-38.1531411885819,INTERSECTION,Left Missing,MOOROODUC HIGHWAY,MOOROODUC HIGHWAY,0,0,0.0,2016
21470,ACHERON WAY N BD S OF DONNA BUANG RD,ACHERON WAY S OF DONNA BUANG RD,145.72196570303066,-37.72307090272325,INTERSECTION,All Moves,ACHERON WAY,DONNA BUANG ROAD,50,0,0.0,2000
28351,TODD RD SEBD SE OF WEST GATE FWY CONN,WEST GATE FWY CONN NNE OF TODD RD,144.91338548196535,-37.83393391054194,INTERSECTION,All Moves,TODD ROAD,TODD ROAD,11000,2200,0.2,1997
28732,MAROONDAH HWY E BD E of STATION ST,STATION ST N OF MAROONDAH HWY,145.1242899077155,-37.81835521050534,INTERSECTION,All Moves,MAROONDAH HIGHWAY,WHITEHORSE ROAD,19000,590,0.03,1998
11438,LOWER HEIDELBERG RD 10M AFTER RAVENSWOOD AVE,LOWER HEIDELBERG RD 10M AFTER RAVENSWOOD AVE,145.05552050592388,-37.77236692100448,INTERSECTION,Scheduled PubTpt Bus flow,MAIN HEIDELBERG-ELTHAM ROAD,LOWER HEIDELBERG ROAD,0,0,0.0,0
9899,STUDLEY PARK RD 50M AFTER HODGSON ST,STUDLEY PARK RD 50M AFTER HODGSON ST,145.0160658108261,-37.805651084377565,INTERSECTION,Scheduled PubTpt Bus flow,STUDLEY PARK ROAD,STUDLEY PARK ROAD,0,0,0.0,0
27958,MAROONDAH HWY SWBD SW OF BONNIE VIEW RD,MAROONDAH HWY NSW OF BONNIE VIEW RD,145.28815940981372,-37.78098180919204,INTERSECTION,All Moves,MAROONDAH HIGHWAY,MAROONDAH HIGHWAY,17000,800,0.05,2006
27883,CANTERBURY RD SEBD NW OF FITZROY ST,CANTERBURY RD NW OF FITZROY ST,144.97694392690823,-37.85958867708201,INTERSECTION,All Moves,CANTERBURY ROAD,CANTERBURY ROAD,10000,0,0.0,2001
28274,NEPEAN HWY NWBD SE OF MAY ST,NEPEAN HWY SE OF MAY ST,145.0541164781652,-37.96049161239612,INTERSECTION,All Moves,NEPEAN HIGHWAY,NEPEAN HIGHWAY,36000,1400,0.04,2011
9684,NICHOLSON ST N OF HARDING ST,NICHOLSON ST/HARDING ST,144.9774831717056,-37.74578329582307,INTERSECTION,All Moves,NICHOLSON STREET,NICHOLSON STREET,0,0,0.0,2015
10724,BACCHUS MARSH ROAD NO of PURNELL ROAD,BACCHUS MARSH ROAD & PURNELL ROAD,144.35843448533723,-38.07353680203491,INTERSECTION,Exitfrom Carpark Busin Area,Missing Data,BACCHUS MARSH ROAD,0,0,0.0,0
28627,STUD_RD NE of KNOX CITY_ENT,STUD RD/SHOPPING CENTRE ACCESS,145.23640697125867,-37.86671289148455,INTERSECTION,Left Missing,STUD ROAD,STUD ROAD,21000,0,0.0,1999
24388,MANNINGHAM RD SE OF HIGH ST,HIGH ST/MANNINGHAM RD,145.11492923420516,-37.774293469668585,INTERSECTION,Left Missing,MANNINGHAM ROAD,MANNINGHAM ROAD,14000,0,0.0,2006
13034,PUNT RD N OF COMMERCIAL RD,PUNT RD/COMMERCIAL RD,144.9851143392868,-37.84524400508531,INTERSECTION,All Moves,HODDLE HIGHWAY,PUNT ROAD,18000,0,0.0,2016
21868,S.E.ARTERIAL E BD W OF TOORONGA RD,TOORONGA RD LEFT TURN TO S.E.ARTERIAL OD:12,145.0457186953634,-37.848851992888434,INTERSECTION,All Moves,MONASH FREEWAY,MONASH FREEWAY,38000,3600,0.1,1993
7619,NARRE WARREN-CRANB N of PRINCES HWY,NARRE WARREN-CRANB & PRINCES HWY,145.30686008920347,-38.025806900624765,INTERSECTION,All Moves,NARRE WARREN NORTH ROAD,NARRE WARREN NORTH ROAD,8100,0,0.0,1993
