from_site,to_site,road_name,distance_km,mean_flow,from_location,to_location,from_direction,to_direction
3127,4063,BALWYN_RD,1.2392,20.0,BALWYN_RD_N_of_CANTERBURY_RD,BALWYN_RD_N_OF_WHITEHORSE_RD,N,N
4063,3127,BALWYN_RD,1.2392,20.0,BALWYN_RD_N_OF_WHITEHORSE_RD,BALWYN_RD_N_of_CANTERBURY_RD,N,N
4063,4057,BALWYN_RD,1.0943,23.5,BALWYN_RD_N_OF_WHITEHORSE_RD,BALWYN_RD_N_OF_BELMORE_RD,N,N
4057,4063,BALWYN_RD,1.0943,23.5,BALWYN_RD_N_OF_BELMORE_RD,BALWYN_RD_N_OF_WHITEHORSE_RD,N,N
4057,3180,BALWYN_RD,0.8955,23.5,BALWYN_RD_N_OF_BELMORE_RD,BALWYN_RD_S_of_DONCASTER_RD,N,S
3180,4057,BALWYN_RD,0.8955,23.5,BALWYN_RD_S_of_DONCASTER_RD,BALWYN_RD_N_OF_BELMORE_RD,S,N
3001,3002,BARKERS_RD,0.3952,53.0,BARKERS_RD_E_of_HIGH_ST,BARKERS_RD_E_of_DENMARK_ST,E,E
3002,3001,BARKERS_RD,0.3952,53.0,BARKERS_RD_E_of_DENMARK_ST,BARKERS_RD_E_of_HIGH_ST,E,E
3002,4035,BARKERS_RD,2.694,54.0,BARKERS_RD_E_of_DENMARK_ST,BARKERS_RD_W_of_BURKE_RD,E,W
4035,3002,BARKERS_RD,2.694,54.0,BARKERS_RD_W_of_BURKE_RD,BARKERS_RD_E_of_DENMARK_ST,W,E
4032,4057,BELMORE_RD,1.8514,24.5,BELMORE_RD_E_of_BURKE_RD,BELMORE_RD_E_OF_BALWYN_RD,E,E
4057,4032,BELMORE_RD,1.8514,24.5,BELMORE_RD_E_OF_BALWYN_RD,BELMORE_RD_E_of_BURKE_RD,E,E
4043,4040,BURKE_RD,1.6044,72.0,BURKE_RD_N_of_TOORAK_RD,BURKE_RD_N_of_RIVERSDALE_RD,N,N
4040,4043,BURKE_RD,1.6044,72.0,BURKE_RD_N_of_RIVERSDALE_RD,BURKE_RD_N_of_TOORAK_RD,N,N
4040,3120,BURKE_RD,1.1155,80.5,BURKE_RD_N_of_RIVERSDALE_RD,BURKE_RD_N_of_CANTERBURY_RD,N,N
3120,4040,BURKE_RD,1.1155,80.5,BURKE_RD_N_of_CANTERBURY_RD,BURKE_RD_N_of_RIVERSDALE_RD,N,N
3120,4035,BURKE_RD,0.6043,83.5,BURKE_RD_N_of_CANTERBURY_RD,BURKE_RD_N_of_MONT_ALBERT_RD,N,N
4035,3120,BURKE_RD,0.6043,83.5,BURKE_RD_N_of_MONT_ALBERT_RD,BURKE_RD_N_of_CANTERBURY_RD,N,N
4035,4034,BURKE_RD,0.6516,81.5,BURKE_RD_N_of_MONT_ALBERT_RD,BURKE_RD_N_OF_WHITEHORSE_RD,N,N
4034,4035,BURKE_RD,0.6516,81.5,BURKE_RD_N_OF_WHITEHORSE_RD,BURKE_RD_N_of_MONT_ALBERT_RD,N,N
4034,4032,BURKE_RD,1.0628,81.5,BURKE_RD_N_OF_WHITEHORSE_RD,BURKE_RD_N_of_HARP_RD,N,N
