Model,from_site,to_site,road_name,distance_km,predicted_flow,speed_kmh,travel_time
CNN,3127,4063,BALWYN_RD,1.2392,1460.3365868278172,37.203545912056214,2.4985191781384857
GRU,3127,4063,BALWYN_RD,1.2392,1494.6944750357366,33.903130327190034,2.693071827953607
LSTM,3127,4063,BALWYN_RD,1.2392,1504.0762314202898,32.0,2.8235
CNN,4063,3127,BALWYN_RD,1.2392,1369.2412717021105,41.44799582899424,2.293862369287065
GRU,4063,3127,BALWYN_RD,1.2392,1405.2279426899363,40.04348956964596,2.356781234579536
LSTM,4063,3127,BALWYN_RD,1.2392,1414.2946051631207,39.649066361893,2.3752522271611483
CNN,4063,4057,BALWYN_RD,1.0943,1369.2412717021105,41.44799582899424,2.0841055444729144
GRU,4063,4057,BALWYN_RD,1.0943,1405.2279426899363,40.04348956964596,2.139667289380557
LSTM,4063,4057,BALWYN_RD,1.0943,1414.2946051631207,39.649066361893,2.1559784636720822
CNN,4057,4063,BALWYN_RD,1.0943,1303.624233813996,43.57839322688222,2.0066640859878593
GRU,4057,4063,BALWYN_RD,1.0943,1346.553185266806,42.234892550707464,2.054591382496608
LSTM,4057,4063,BALWYN_RD,1.0943,1363.666302007092,41.64730382869527,2.0765246237803563
CNN,4057,3180,BALWYN_RD,0.8955,1303.624233813996,43.57839322688222,1.732950460570344
GRU,4057,3180,BALWYN_RD,0.8955,1346.553185266806,42.234892550707464,1.7721708699860297
LSTM,4057,3180,BALWYN_RD,0.8955,1363.666302007092,41.64730382869527,1.7901195290096947
CNN,3180,4057,BALWYN_RD,0.8955,982.559642927021,50.79466104407899,1.5577883363248306
GRU,3180,4057,BALWYN_RD,0.8955,1018.0414539905305,50.138826700638546,1.5716245978551333
LSTM,3180,4057,BALWYN_RD,0.8955,1043.0987432695035,49.66100953875567,1.581935315029568
CNN,3001,3002,BARKERS_RD,0.3952,1727.8793935843394,32.0,1.241
GRU,3001,3002,BARKERS_RD,0.3952,1733.4797801024524,32.0,1.241
LSTM,3001,3002,BARKERS_RD,0.3952,1752.630211035461,32.0,1.241
CNN,3002,3001,BARKERS_RD,0.3952,1830.9458576699963,32.0,1.241
GRU,3002,3001,BARKERS_RD,0.3952,1857.2133038838704,32.0,1.241
LSTM,3002,3001,BARKERS_RD,0.3952,1863.8095272028984,32.0,1.241
CNN,3002,4035,BARKERS_RD,2.694,1830.9458576699963,32.0,5.55125
GRU,3002,4035,BARKERS_RD,2.694,1857.2133038838704,32.0,5.55125
LSTM,3002,4035,BARKERS_RD,2.694,1863.8095272028984,32.0,5.55125
CNN,4035,3002,BARKERS_RD,2.694,1743.698035760974,32.0,5.55125
GRU,4035,3002,BARKERS_RD,2.694,1767.3079738752217,32.0,5.55125
LSTM,4035,3002,BARKERS_RD,2.694,1768.6733738510638,32.0,5.55125
CNN,4032,4057,BELMORE_RD,1.8514,1727.859330603417,32.0,3.971375
GRU,4032,4057,BELMORE_RD,1.8514,1748.475838546212,32.0,3.971375
LSTM,4032,4057,BELMORE_RD,1.8514,1750.6872742411347,32.0,3.971375
CNN,4057,4032,BELMORE_RD,1.8514,1303.624233813996,43.57839322688222,3.049061398883233
GRU,4057,4032,BELMORE_RD,1.8514,1346.553185266806,42.234892550707464,3.1301475697287944
LSTM,4057,4032,BELMORE_RD,1.8514,1363.666302007092,41.64730382869527,3.1672554952635945
CNN,4043,4040,BURKE_RD,1.6044,2084.5700171179806,32.0,3.5082500000000003
GRU,4043,4040,BURKE_RD,1.6044,2112.5005954174285,32.0,3.5082500000000003
LSTM,4043,4040,BURKE_RD,1.6044,2110.376494219858,32.0,3.5082500000000003
CNN,4040,4043,BURKE_RD,1.6044,1741.3874120238825,32.0,3.5082500000000003
GRU,4040,4043,BURKE_RD,1.6044,1766.7884282051248,32.0,3.5082500000000003
LSTM,4040,4043,BURKE_RD,1.6044,1765.569069822695,32.0,3.5082500000000003
CNN,4040,3120,BURKE_RD,1.1155,1741.3874120238825,32.0,2.5915624999999998
GRU,4040,3120,BURKE_RD,1.1155,1766.7884282051248,32.0,2.5915624999999998
LSTM,4040,3120,BURKE_RD,1.1155,1765.569069822695,32.0,2.5915624999999998
CNN,3120,4040,BURKE_RD,1.1155,1885.4265146999494,32.0,2.5915624999999998
GRU,3120,4040,BURKE_RD,1.1155,1915.7880840977878,32.0,2.5915624999999998
LSTM,3120,4040,BURKE_RD,1.1155,1919.6360022411347,32.0,2.5915624999999998
CNN,3120,4035,BURKE_RD,0.6043,1885.4265146999494,32.0,1.6330624999999999
GRU,3120,4035,BURKE_RD,0.6043,1915.7880840977878,32.0,1.6330624999999999
LSTM,3120,4035,BURKE_RD,0.6043,1919.6360022411347,32.0,1.6330624999999999
CNN,4035,3120,BURKE_RD,0.6043,1743.698035760974,32.0,1.6330624999999999
GRU,4035,3120,BURKE_RD,0.6043,1767.3079738752217,32.0,1.6330624999999999
LSTM,4035,3120,BURKE_RD,0.6043,1768.6733738510638,32.0,1.6330624999999999
CNN,4035,4034,BURKE_RD,0.6516,1743.698035760974,32.0,1.72175
GRU,4035,4034,BURKE_RD,0.6516,1767.3079738752217,32.0,1.72175
LSTM,4035,4034,BURKE_RD,0.6516,1768.6733738510638,32.0,1.72175
CNN,4034,4035,BURKE_RD,0.6516,1820.369131237057,32.0,1.72175
GRU,4034,4035,BURKE_RD,0.6516,1839.9530523584244,32.0,1.72175
LSTM,4034,4035,BURKE_RD,0.6516,1840.2368126170213,32.0,1.72175
CNN,4034,4032,BURKE_RD,1.0628,1820.369131237057,32.0,2.49275
GRU,4034,4032,BURKE_RD,1.0628,1839.9530523584244,32.0,2.49275
LSTM,4034,4032,BURKE_RD,1.0628,1840.2368126170213,32.0,2.49275
CNN,4032,4034,BURKE_RD,1.0628,1727.859330603417,32.0,2.49275
GRU,4032,4034,BURKE_RD,1.0628,1748.475838546212,32.0,2.49275
LSTM,4032,4034,BURKE_RD,1.0628,1750.6872742411347,32.0,2.49275
CNN,4032,4030,BURKE_RD,0.721,1727.859330603417,32.0,1.851875
GRU,4032,4030,BURKE_RD,0.721,1748.475838546212,32.0,1.851875
LSTM,4032,4030,BURKE_RD,0.721,1750.6872742411347,32.0,1.851875
CNN,4030,4032,BURKE_RD,0.721,1050.8480511388034,49.5105986121523,1.3737523118813977
GRU,4030,4032,BURKE_RD,0.721,1091.553966576326,48.69827811933198,1.388327096370721
LSTM,4030,4032,BURKE_RD,0.721,1119.7260074539008,48.11211900748844,1.3991497546235028
CNN,4030,2825,BURKE_RD,1.0017,1050.8480511388034,49.5105986121523,1.7139219012643498
GRU,4030,2825,BURKE_RD,1.0017,1091.553966576326,48.69827811933198,1.734170946511167
LSTM,4030,2825,BURKE_RD,1.0017,1119.7260074539008,48.11211900748844,1.749207086277896
CNN,2825,4030,BURKE_RD,1.0017,643.1290534404998,56.18588912674672,1.5696991884282392
GRU,2825,4030,BURKE_RD,1.0017,680.634411669792,55.65065696691648,1.5799872503882528
LSTM,2825,4030,BURKE_RD,1.0017,710.9848254113475,55.20849756416502,1.588636761580907
CNN,4263,4264,BURWOOD_RD,0.7814,1758.9175749516141,32.0,1.965125
GRU,4263,4264,BURWOOD_RD,0.7814,1778.7176494874816,32.0,1.965125
LSTM,4263,4264,BURWOOD_RD,0.7814,1787.6529838985507,32.0,1.965125
CNN,4264,4263,BURWOOD_RD,0.7814,1357.682104989992,41.85675823957851,1.6201058555860133
GRU,4264,4263,BURWOOD_RD,0.7814,1383.0651384448329,40.93462546249109,1.6453384383096503
LSTM,4264,4263,BURWOOD_RD,0.7814,1397.1163784326243,40.380645499601755,1.6610512764205907
CNN,4264,4266,BURWOOD_RD,0.8369,1357.682104989992,41.85675823957851,1.6996629006141981
GRU,4264,4266,BURWOOD_RD,0.8369,1383.0651384448329,40.93462546249109,1.7266876619162357
LSTM,4264,4266,BURWOOD_RD,0.8369,1397.1163784326243,40.380645499601755,1.7435165257696343
CNN,4266,4264,BURWOOD_RD,0.8369,1806.8753404279128,32.0,2.0691875
GRU,4266,4264,BURWOOD_RD,0.8369,1826.9879226143478,32.0,2.0691875
LSTM,4266,4264,BURWOOD_RD,0.8369,1828.5351713262412,32.0,2.0691875
CNN,4040,3812,CAMBERWELL_RD,0.7113,1741.3874120238825,32.0,1.8336875000000001
GRU,4040,3812,CAMBERWELL_RD,0.7113,1766.7884282051248,32.0,1.8336875000000001
LSTM,4040,3812,CAMBERWELL_RD,0.7113,1765.569069822695,32.0,1.8336875000000001
CNN,3812,4040,CAMBERWELL_RD,0.7113,1481.941953537312,35.51107197095061,1.7018223509251484
GRU,3812,4040,CAMBERWELL_RD,0.7113,1504.1427063367046,32.0,1.8336875000000001
LSTM,3812,4040,CAMBERWELL_RD,0.7113,1524.8743738723404,32.0,1.8336875000000001
CNN,3120,3122,CANTERBURY_RD,0.6158,1885.4265146999494,32.0,1.654625
GRU,3120,3122,CANTERBURY_RD,0.6158,1915.7880840977878,32.0,1.654625
LSTM,3120,3122,CANTERBURY_RD,0.6158,1919.6360022411347,32.0,1.654625
CNN,3122,3120,CANTERBURY_RD,0.6158,1459.243422677331,37.27476604084093,1.4912335857324255
GRU,3122,3120,CANTERBURY_RD,0.6158,1496.8352338371546,33.469857260814486,1.6039186606647893
LSTM,3122,3120,CANTERBURY_RD,0.6158,1505.9843873971631,32.0,1.654625
CNN,3122,3127,CANTERBURY_RD,1.2079,1459.243422677331,37.27476604084093,2.4443180386589747
GRU,3122,3127,CANTERBURY_RD,1.2079,1496.8352338371546,33.469857260814486,2.6653513319535547
LSTM,3122,3127,CANTERBURY_RD,1.2079,1505.9843873971631,32.0,2.7648125
CNN,3127,3122,CANTERBURY_RD,1.2079,1460.3365868278172,37.203545912056214,2.448040118845608
GRU,3127,3122,CANTERBURY_RD,1.2079,1494.6944750357366,33.903130327190034,2.6376787128673023
LSTM,3127,3122,CANTERBURY_RD,1.2079,1504.0762314202898,32.0,2.7648125
CNN,3127,3126,CANTERBURY_RD,1.8276,1460.3365868278172,37.203545912056214,3.4474609828646674
GRU,3127,3126,CANTERBURY_RD,1.8276,1494.6944750357366,33.903130327190034,3.734391601652688
LSTM,3127,3126,CANTERBURY_RD,1.8276,1504.0762314202898,32.0,3.9267499999999997
CNN,3126,3127,CANTERBURY_RD,1.8276,1663.3426744176986,32.0,3.9267499999999997
GRU,3126,3127,CANTERBURY_RD,1.8276,1683.5497658912172,32.0,3.9267499999999997
LSTM,3126,3127,CANTERBURY_RD,1.8276,1685.5210411702128,32.0,3.9267499999999997
CNN,4324,4034,COTHAM_RD,1.9279,935.2340717992039,51.635347556173876,2.7402095749265314
GRU,4324,4034,COTHAM_RD,1.9279,960.9801650081121,51.182566929927,2.7600273284137327
LSTM,4324,4034,COTHAM_RD,1.9279,986.203479248227,50.72836773898205,2.7802626056329953
CNN,4034,4324,COTHAM_RD,1.9279,1820.369131237057,32.0,4.114812499999999
GRU,4034,4324,COTHAM_RD,1.9279,1839.9530523584244,32.0,4.114812499999999
LSTM,4034,4324,COTHAM_RD,1.9279,1840.2368126170213,32.0,4.114812499999999
CNN,4051,3180,DONCASTER_RD,1.2589,634.5817875693031,56.30621661947185,1.8414859767700817
GRU,4051,3180,DONCASTER_RD,1.2589,695.2789626966977,55.43834951809507,1.862486449481071
LSTM,4051,3180,DONCASTER_RD,1.2589,727.4418462127659,54.96518451160549,1.8742153450617736
CNN,3180,4051,DONCASTER_RD,1.2589,982.559642927021,50.79466104407899,1.9870460486871346
GRU,3180,4051,DONCASTER_RD,1.2589,1018.0414539905305,50.138826700638546,2.006497159396792
LSTM,3180,4051,DONCASTER_RD,1.2589,1043.0987432695035,49.66100953875567,2.020992035835537
CNN,4270,4264,GLENFERRIE_RD,0.6317,1522.5855760236159,32.0,1.6844375
GRU,4270,4264,GLENFERRIE_RD,0.6317,1548.4933364814055,32.0,1.6844375
LSTM,4270,4264,GLENFERRIE_RD,0.6317,1553.467933567376,32.0,1.6844375
CNN,4264,4270,GLENFERRIE_RD,0.6317,1357.682104989992,41.85675823957851,1.4055168530505306
GRU,4264,4270,GLENFERRIE_RD,0.6317,1383.0651384448329,40.93462546249109,1.425915397338375
LSTM,4264,4270,GLENFERRIE_RD,0.6317,1397.1163784326243,40.380645499601755,1.4386179822304674
CNN,4264,4324,GLENFERRIE_RD,1.6123,1357.682104989992,41.85675823957851,2.811167994575543
GRU,4264,4324,GLENFERRIE_RD,1.6123,1383.0651384448329,40.93462546249109,2.8632315895657148
